Date,WTI,BRENT,BONNY
11/23/2015,39.27,43.7,45.12
11/24/2015,40.89,44.38,45.895
11/25/2015,41.22,43.56,45.24
11/26/2015,,43.55,45.17
11/27/2015,40.57,43.07,44.885
11/30/2015,40.43,43.73,45.175
12/1/2015,40.58,42.97,44.355
12/2/2015,39.93,41.92,43.245
12/3/2015,41.08,42,43.2
12/4/2015,40,41.44,42.975
12/7/2015,37.64,39.69,41.01
12/8/2015,37.46,39.44,40.605
12/9/2015,37.16,39.04,40.205
12/10/2015,36.76,38.65,39.65
12/11/2015,35.65,36.99,38.14
12/14/2015,36.31,36.51,37.5
12/15/2015,37.32,37.66,38.525
12/16/2015,35.55,36.96,37.245
12/17/2015,34.98,36.29,36.935
12/18/2015,34.72,36.76,37.305
12/21/2015,34.55,35.34,35.995
12/22/2015,36.12,35.26,36.325
12/23/2015,36.76,35.79,36.81
12/24/2015,37.62,37.22,37.53
12/28/2015,36.36,37.08,
12/29/2015,37.88,36.85,37.45
12/30/2015,36.59,35.65,36.65
12/31/2015,37.13,36.61,36.28
1/4/2016,36.81,36.28,37.01
1/5/2016,35.97,35.56,36.59
1/6/2016,33.97,33.89,34.83
1/7/2016,33.29,33.57,34.885
1/8/2016,33.2,31.67,33.175
1/11/2016,31.42,30.14,32.085
1/12/2016,30.42,29.14,30.935
1/13/2016,30.42,28.58,30.61
1/14/2016,31.22,28.84,30.425
1/15/2016,29.45,28.8,29.67
1/18/2016,,27.36,28.85
1/19/2016,28.47,27.36,29.535
1/20/2016,26.68,26.01,27.725
1/21/2016,29.55,27.59,28.955
1/22/2016,32.07,30.46,31.63
1/25/2016,30.31,29.82,31.455
1/26/2016,29.54,30.94,32.27
1/27/2016,32.32,31.83,32.955
1/28/2016,33.21,33.01,34.69
1/29/2016,33.66,33.14,34.97
2/1/2016,31.62,32.45,34.59
2/2/2016,29.9,30.98,32.96
2/3/2016,32.29,32.38,34.13
2/4/2016,31.63,32.76,34.69
2/5/2016,30.86,32.35,34.38
2/8/2016,29.71,31.64,33.74
2/9/2016,27.96,30.15,32.13
