Date,US_Diesel,UK_Diesel,Nigeria_Diesel,,Date,US_Diesel,UK_Diesel,Nigeria_Diesel
6/1/2015,2.873,6.149965948,1.454544,,6/1/2015,120.7142857,258.4019306,61.11529412
7/1/2015,2.788,6.022632627,1.35135,,7/1/2015,117.1428571,253.0517911,56.77941176
8/1/2015,2.595,5.666055969,1.493856,,8/1/2015,109.0336134,238.0695785,62.76705882
9/1/2015,2.505,5.570131683,1.542996,,9/1/2015,105.2521008,234.0391463,64.83176471
10/1/2015,2.519,5.61432766,1.5444,,10/1/2015,105.8403361,235.8961202,64.8907563
11/1/2015,2.467,5.58592299,1.54791,,11/1/2015,103.6554622,234.7026466,65.03823529
12/1/2015,2.31,5.46649361,1.511055,,12/1/2015,97.05882353,229.6846055,63.48970588
1/1/2016,2.143,5.200410287,1.552824,,1/1/2016,90.04201681,218.5046339,65.24470588
2/1/2016,1.998,5.124237923,1.42506,,2/1/2016,83.94957983,215.3041144,59.87647059
3/1/2016,2.09,5.194142663,1.57248,,3/1/2016,87.81512605,218.2412884,66.07058824
4/1/2016,2.152,5.424654549,1.52334,,4/1/2016,90.42016807,227.9266617,64.00588235
5/1/2016,2.315,5.532569612,1.39776,,5/1/2016,97.26890756,232.4609081,58.72941176
6/1/2016,2.423,5.673893169,1.756755,,6/1/2016,101.8067227,238.3988726,73.81323529
7/1/2016,2.405,5.714160937,2.004912,,7/1/2016,101.0504202,240.0907957,84.24
8/1/2016,2.351,5.614419522,1.906632,,8/1/2016,98.78151261,235.8999799,80.11058824
9/1/2016,2.394,5.743626561,1.862406,,9/1/2016,100.5882353,241.3288471,78.25235294
10/1/2016,2.454,5.865889312,1.76904,,10/1/2016,103.1092437,246.4659375,74.32941176
11/1/2016,2.439,6.003769281,1.79361,,11/1/2016,102.4789916,252.2592135,75.36176471
12/1/2016,2.51,5.942899645,1.76904,,12/1/2016,105.4621849,249.7016658,74.32941176
1/1/2017,2.58,6.187961861,1.945944,,1/1/2017,108.4033613,259.9983975,81.76235294
2/1/2017,2.568,6.228918976,2.476656,,2/1/2017,107.8991597,261.7192847,104.0611765
