Date,US,UK,Nigeria,,,,
2014-6-15,3.766,6.5789099,0.954681041,,,,
2014-7-15,3.688,6.651015999,0.954681041,,,,
2014-8-15,3.565,6.557159029,0.954681041,,,,
2014-9-15,3.484,6.518793701,0.954681041,,,,
2014-10-15,3.255,6.429726863,0.954681041,,,,
2014-11-15,2.997,6.212591486,0.954681041,,,,
2014-12-15,2.632,5.89530802,0.954681041,,,,
2015-1-15,2.208,5.500826017,0.954681041,,,,
2015-2-15,2.301,5.437428741,0.880865497,,,,
2015-3-15,2.546,5.632555713,0.962062596,,,,
2015-4-15,2.555,5.708917452,0.921217994,,,,
2015-5-15,2.802,5.871341686,0.962062596,,,,
2015-6-15,2.885,5.904147503,0.957141559,,,,
2015-7-15,2.88,5.904502378,0.925154823,,,,
2015-8-15,2.726,5.807064766,0.931060067,,,,
2015-9-15,2.462,5.655438188,0.911375922,,,,
2015-10-15,2.387,5.523706231,1.064912254,,,,
2015-11-15,2.26,5.439647062,1.011272959,,,,
2015-12-15,2.144,5.259088468,1.129673092,,,,
2016-1-15,2.057,5.160834527,0.98027043,,,,
2016-2-15,1.872,5.143595852,0.912360129,,,,
2016-3-15,2.071,5.160046896,1.032433415,,,,
2016-4-15,2.216,5.399263098,1.053101767,,,,
2016-5-15,2.371,5.500269166,1.427100525,,,,
2016-6-15,2.467,5.628566797,1.427100525,,,,
2016-7-15,2.345,5.664048165,1.427100525,,,,
2016-8-15,2.284,5.531489688,1.427100525,,,,
2016-9-15,2.327,5.641130535,1.410369002,,,,
2016-10-15,2.359,5.760030059,1.43989522,,,,
2016-11-15,2.295,5.878182313,1.423163696,,,,
2016-12-15,2.366,5.786267609,1.427100525,,,,
2017-1-15,2.458,6.020746932,1.419226867,,,,
2017-2-15,2.416,6.079968411,1.427100525,,,,
2017-3-15,2.437,6.056001393,1.427100525,,,,
2017-4-15,2.528,5.950069268,1.427100525,,,,
2017-5-15,2.503,5.859758157,1.427100525,,,,
2017-6-15,2.46,5.861139236,1.427100525,,,,
2017-7-15,2.414,5.777753969,1.427100525,,,,
2017-8-15,2.494,5.865818059,1.412337417,,,,
2017-9-15,2.761,6.032861503,1.397574308,,,,
2017-10-15,2.621,5.942380613,1.417258453,,,,
2017-11-15,2.678,6.042552325,1.417258453,,,,
2017-12-15,2.594,6.086636902,1.442191703,,,,
2018-1-15,2.671,6.14584215,1.574731614,,,,
2018-2-15,2.705,6.160074981,1.427100525,,,,
2018-3-15,2.709,6.04176508,1.427100525,,,,
2018-4-15,2.873,6.116060411,1.426608422,,,,
2018-5-15,2.987,6.323802855,1.426706843,,,,
2018-6-15,2.97,6.489948661,1.422179489,,,,
2018-7-15,2.928,6.473354437,1.427100525,,,,
2018-8-15,2.914,6.523989721,1.423163696,,,,
2018-9-15,2.915,6.632295152,1.417258453,,,,
2018-10-15,2.943,6.638905368,1.422770013,,,,
2018-11-15,2.736,6.523736967,1.421195282,,,,
2018-12-15,2.457,6.136302714,1.426608422,,,,
2019-1-15,2.338,6.059376807,1.419226867,,,,
2019-2-15,2.393,6.028862568,1.422179489,,,,
2019-3-15,2.594,6.107836474,1.417258453,,,,
2019-4-15,2.881,6.294687994,1.423819835,,,,
2019-5-15,2.946,6.49625824,1.417258453,,,,
2019-6-15,2.804,6.473984462,1.419226867,,,,
2019-7-15,2.823,6.461515651,1.40741638,,,,
2019-8-15,2.707,6.518591462,1.430348409,,,,
2019-9-15,2.681,6.44173825,1.409056726,,,,
2019-10-15,2.724,6.44549599,1.412337417,,,,
2019-11-15,2.693,6.373299094,1.419226867,,,,
2019-12-15,2.645,6.310883323,1.413977762,,,,
2020-1-15,2.636,6.449143622,1.419226867,,,,
2020-2-15,2.533,6.268388642,1.413977762,,,,
2020-3-15,2.329,6.099077884,1.427100525,,,,
2020-4-15,1.938,5.527464439,1.230259074,,,,
2020-5-15,1.961,5.31489371,1.215495965,,,,
2020-6-15,2.17,5.368416783,1.24600639,,,,
2020-7-15,2.272,5.637896356,1.419226867,,,,
2020-8-15,2.272,5.719967516,1.448753085,,,,
2020-9-15,2.274,5.742620936,1.577192132,,,,
